[2025-07-05 01:53:13] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-07-05 01:53:13] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-07-05 01:53:13] [DEBUG   ] discord.client: Dispatching event ready
[2025-07-05 01:53:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-07-04T20:53:12.303000+00:00', 'pinned': False, 'nonce': '1390797618136743936', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-04T20:52:58.307085+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1390797619684577441', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'hello', 'components': [], 'channel_type': 0, 'channel_id': '1117688660549173252', 'author': {'username': 'franky_orangutanx', 'public_flags': 0, 'primary_guild': {'tag': 'BOSS', 'identity_guild_id': '962832170588717076', 'identity_enabled': True, 'badge': '90a3edbdc5465bd6b6574adadb29b32e'}, 'id': '1039523079711371314', 'global_name': 'Franky OGx', 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'BOSS', 'identity_guild_id': '962832170588717076', 'identity_enabled': True, 'badge': '90a3edbdc5465bd6b6574adadb29b32e'}, 'avatar_decoration_data': None, 'avatar': '87a3a4a542d1d6c44bb2879ce2473935'}, 'attachments': [], 'guild_id': '1117688660549173248'}}
[2025-07-05 01:53:14] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-05 01:53:14] [DEBUG   ] discord.client: Dispatching event message
[2025-07-05 01:53:25] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 6, 'op': 0, 'd': {'user_id': '1039523079711371314', 'timestamp': 1751662403, 'member': {'user': {'username': 'franky_orangutanx', 'public_flags': 0, 'primary_guild': {'tag': 'BOSS', 'identity_guild_id': '962832170588717076', 'identity_enabled': True, 'badge': '90a3edbdc5465bd6b6574adadb29b32e'}, 'id': '1039523079711371314', 'global_name': 'Franky OGx', 'display_name': 'Franky OGx', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '87a3a4a542d1d6c44bb2879ce2473935'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-04T20:52:58.307085+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1117688660549173252', 'guild_id': '1117688660549173248'}}
[2025-07-05 01:53:25] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-05 01:53:25] [DEBUG   ] discord.client: Dispatching event typing
[2025-07-05 01:53:25] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-07-05 01:53:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-07-04T20:53:24.495000+00:00', 'pinned': False, 'nonce': '1390797669395333120', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-04T20:52:58.307085+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1390797670821527653', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'hello', 'components': [], 'channel_type': 0, 'channel_id': '1117688660549173252', 'author': {'username': 'franky_orangutanx', 'public_flags': 0, 'primary_guild': {'tag': 'BOSS', 'identity_guild_id': '962832170588717076', 'identity_enabled': True, 'badge': '90a3edbdc5465bd6b6574adadb29b32e'}, 'id': '1039523079711371314', 'global_name': 'Franky OGx', 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'BOSS', 'identity_guild_id': '962832170588717076', 'identity_enabled': True, 'badge': '90a3edbdc5465bd6b6574adadb29b32e'}, 'avatar_decoration_data': None, 'avatar': '87a3a4a542d1d6c44bb2879ce2473935'}, 'attachments': [], 'guild_id': '1117688660549173248'}}
[2025-07-05 01:53:26] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-05 01:53:26] [DEBUG   ] discord.client: Dispatching event message
[2025-07-05 01:53:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 8, 'op': 0, 'd': {'user_id': '1048211464961392732', 'timestamp': 1751662404, 'member': {'user': {'username': 'tahaop1', 'public_flags': 0, 'primary_guild': None, 'id': '1048211464961392732', 'global_name': 'Taha - Apes', 'display_name': 'Taha - Apes', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '771fbf12d72595d77b1a3bffdce9f211'}, 'roles': ['1117691147549151314'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-06-12T05:35:42.344000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1117688660549173252', 'guild_id': '1117688660549173248'}}
[2025-07-05 01:53:26] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-05 01:53:26] [DEBUG   ] discord.client: Dispatching event typing
[2025-07-05 01:53:26] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-07-05 01:53:32] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 9, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-07-04T20:53:30.307000+00:00', 'pinned': False, 'nonce': '1390797701741805568', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1117691147549151314'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-06-12T05:35:42.344000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1390797695198826658', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!hello', 'components': [], 'channel_type': 0, 'channel_id': '1117688660549173252', 'author': {'username': 'tahaop1', 'public_flags': 0, 'primary_guild': None, 'id': '1048211464961392732', 'global_name': 'Taha - Apes', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '771fbf12d72595d77b1a3bffdce9f211'}, 'attachments': [], 'guild_id': '1117688660549173248'}}
[2025-07-05 01:53:32] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-05 01:53:32] [DEBUG   ] discord.client: Dispatching event message
[2025-07-05 01:53:32] [DEBUG   ] discord.client: Dispatching event command
[2025-07-05 01:53:33] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1117688660549173252/messages with {"content":"Hello <@1048211464961392732>!","components":[],"nonce":"1282587295373353599","enforce_nonce":true,"tts":false} has returned 200
